"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","source_cluster","target_cluster","source_NDUFB7","target_NDUFB7","direction"
"C8","C7","ANXA1","FPR1",0.186915519353237,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437",7,6,NA,1.86573925027906,NA
"C4","C7","ANXA1","FPR1",0.135568437110377,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437",3,6,0,1.86573925027906,"Low→High"
"C3","C7","ANXA1","FPR1",0.114090415015888,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437",2,6,2.26729485084923,1.86573925027906,"High→Low"
"C7","C7","ANXA1","FPR1",0.0636866548888013,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437",6,6,1.86573925027906,1.86573925027906,"Same"
"C2","C7","ANXA1","FPR1",0.0551124795997229,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437",1,6,2.41739609984174,1.86573925027906,"High→Low"
"C6","C7","ANXA1","FPR1",0.0193943614373156,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437",5,6,2.6727288408486,1.86573925027906,"High→Low"
