"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.48429502830938e-20,0.730609186827779,0.979,0.922,3.46657103861657e-16,"LPIN3"
1.52815432606152e-20,0.66829197851485,0.521,0.092,3.56900442851668e-16,"TPTE"
1.63025117802529e-20,-2.96082619478039,0.208,0.954,3.80745162627806e-16,"CRYAB"
1.92928832770808e-20,-2.17781680019023,0.333,0.944,4.50585288936221e-16,"BSG"
2.12299386523222e-20,-2.18107148927809,0.396,0.98,4.95825217224984e-16,"RPL8"
2.19805620321115e-20,0.376622080758405,0.667,0.177,5.13356026259964e-16,"SPTA1"
2.27160571822157e-20,0.503368739417899,0.771,0.263,5.30533515490646e-16,"RYR1"
2.54417249186871e-20,-2.00215192515195,0.375,0.995,5.94191485475936e-16,"FTL"
3.12926731053258e-20,0.710014983346118,0.417,0.053,7.30840380374885e-16,"CCDC13"
3.38156625000584e-20,0.717383715500854,0.812,0.261,7.89764797688864e-16,"MIAT"
3.83662786414977e-20,-1.97435518582656,0.25,0.927,8.96044437672179e-16,"UBB"
4.40380388526905e-20,-2.60979336753903,0.312,0.968,1.02850839740459e-15,"MB"
4.87028534072586e-20,-2.37794548547914,0.333,0.975,1.13745514132652e-15,"CST3"
5.2868410743113e-20,-2.20412086434829,0.292,0.976,1.2347417329054e-15,"SEPW1"
5.94949932753054e-20,-2.45129206519051,0.188,0.946,1.38950556794476e-15,"NDUFA1"
7.40274105457327e-20,0.68944190403096,0.562,0.112,1.72891017329559e-15,"TRPV1"
7.45864063448284e-20,-2.38499871032471,0.188,0.934,1.74196552018347e-15,"COX6B1"
8.88516181354512e-20,-3.04192246516137,0.375,0.937,2.07512954155346e-15,"IFITM1"
9.38223574116629e-20,0.896133403832695,0.958,0.66,2.19122115734939e-15,"ALK"
9.46131629653644e-20,0.921481746926477,0.417,0.054,2.20969042105609e-15,"ABCG4"
9.74307181970825e-20,0.345455555846037,0.708,0.212,2.27549442349286e-15,"DNAH8"
1.00948217512439e-19,0.396562727603653,0.5,0.085,2.35764562000301e-15,"GRIA1"
1.08706402942786e-19,0.485772998276308,0.375,0.042,2.53883804072877e-15,"FMN2"
1.15455609806271e-19,0.362779123962223,0.583,0.131,2.69646576702545e-15,"ADARB2"
1.18166229702732e-19,-2.47745679821349,0.312,0.942,2.7597722947073e-15,"ITM2B"
1.21616977602604e-19,-2.62419453454751,0.312,0.951,2.84036451190882e-15,"MYL3"
1.30112428235692e-19,-1.92526226914094,0.188,0.883,3.03877576144459e-15,"UQCRH"
1.33508996435697e-19,-2.56751972340314,0.208,0.917,3.1181026117557e-15,"NDUFS5"
1.36849467123051e-19,0.84313251988781,0.75,0.246,3.19611930465886e-15,"CXXC4"
1.38458497572289e-19,0.354690519854089,0.854,0.343,3.23369821080082e-15,"MUC16"
1.3895323933452e-19,-2.11359276583768,0.292,0.927,3.24525290465771e-15,"CFL1"
1.44043061019018e-19,0.433482175452639,0.688,0.19,3.36412569009917e-15,"FBN3"
1.53502608771636e-19,-1.95742782501338,0.542,0.99,3.58505342786155e-15,"ACTB"
1.5689673317895e-19,0.795357054222793,0.521,0.093,3.66432320339438e-15,"ALX4"
1.62894402668223e-19,0.51407437840832,0.771,0.263,3.80439877431635e-15,"SOX11"
1.72428728951648e-19,-2.2776760524407,0.292,0.947,4.02707296466574e-15,"OAZ1"
1.85441104992363e-19,-3.08537365187364,0.229,0.917,4.33097700709664e-15,"COX6A2"
1.89054591014626e-19,0.32510098820479,0.625,0.156,4.41536997314659e-15,"TTC40"
2.03580444197207e-19,-2.59797159882388,0.458,0.993,4.75462127422578e-15,"TNNI3"
2.04202021547023e-19,-2.53808920051526,0.125,0.871,4.76913821323073e-15,"MYOZ2"
2.30509645427179e-19,0.98952892470176,0.542,0.11,5.38355276895176e-15,"CYP1A2"
2.43110654213143e-19,-1.64376242268677,0.25,0.988,5.67784932914795e-15,"RPS6"
2.60998134144913e-19,-2.29979127618481,0.25,0.949,6.09561142295445e-15,"ACTC1"
2.70171061828485e-19,0.371198529208897,0.625,0.156,6.30984514900426e-15,"SPTBN4"
2.89619915150714e-19,-2.81586579673505,0.708,0.997,6.76407311834493e-15,"ANKRD1"
3.23837106530514e-19,-1.60926007992533,0.188,0.913,7.56321562302016e-15,"ATP5L"
3.32528115780394e-19,0.583210943457076,0.833,0.317,7.7661941440511e-15,"GRIN2A"
3.43616070112327e-19,0.59133172731794,0.625,0.154,8.0251533174734e-15,"LOC400950"
3.43877415801374e-19,0.392710010019354,0.667,0.18,8.03125704604109e-15,"MUC2"
3.44095922855387e-19,0.814977306189768,0.625,0.153,8.03636027828757e-15,"UNC13A"
3.75238201306401e-19,0.653560687422081,0.625,0.153,8.76368819151101e-15,"ANO3"
4.00557266170882e-19,-1.64287922137317,0.271,0.964,9.35501495142095e-15,"RPLP1"
4.30746020008217e-19,-2.31588218273651,0.312,0.942,1.00600732972919e-14,"NDUFA13"
4.31240076165479e-19,0.123351463579355,0.833,0.333,1.00716119788448e-14,"TSIX"
4.76945667484677e-19,-2.3497592018387,0.271,0.954,1.11390660641046e-14,"TCAP"
5.1199633166779e-19,-1.92571934826106,0.167,0.917,1.19576743261012e-14,"COX6C"
5.17866835707451e-19,-2.39502153861676,0.354,0.939,1.20947799479475e-14,"GNB2L1"
5.29563228224744e-19,-2.06889793872192,0.271,0.924,1.23679491951889e-14,"PFN1"
5.42730525529063e-19,0.207582961127135,0.333,0.032,1.26754714237313e-14,"ZSCAN10"
5.94619107967461e-19,-2.30452931784493,0.312,0.935,1.38873292665801e-14,"HSPB6"
5.98146109117349e-19,0.63947147885275,0.271,0.019,1.39697023784357e-14,"AKR1D1"
6.66750875165542e-19,0.530498128660657,0.562,0.121,1.55719666894912e-14,"AXDND1"
7.02572104555355e-19,1.06563420070595,0.938,0.489,1.64085715018903e-14,"LOC646214"
7.04097533386149e-19,-1.69694237097769,0.167,0.844,1.64441978922335e-14,"ATP5G3"
7.1451924833122e-19,0.257068243302184,0.708,0.233,1.66875970447756e-14,"ONECUT2"
7.47355992917193e-19,-1.53190052150402,0.188,0.932,1.7454499214581e-14,"TCEB2"
7.83705060444803e-19,0.617254330847214,0.688,0.195,1.83034316866884e-14,"IGFN1"
7.93502969688151e-19,1.48959679506799,0.562,0.115,1.85322618570668e-14,"LHFPL4"
8.25960483944802e-19,0.741084831584278,0.521,0.1,1.92903071025308e-14,"DKFZp686O1327"
8.54109679081409e-19,-1.86061722373373,0.438,0.961,1.99477315549463e-14,"ALDOA"
8.57597615602183e-19,-2.00230388321157,0.458,0.993,2.0029192312389e-14,"TXNIP"
8.87841842672574e-19,-1.31318065110131,0.5,0.983,2.0735546235618e-14,"GNAS"
9.99776211784757e-19,1.62846672679931,0.667,0.187,2.3349773426233e-14,"TPH1"
1.06328829781393e-18,0.473331215211184,0.812,0.312,2.48330981954444e-14,"DNHD1"
1.08733957706657e-18,0.346942955301503,0.562,0.121,2.53948158223898e-14,"FER1L5"
1.30788932086429e-18,-2.08748118983761,0.458,0.99,3.05457550887856e-14,"DES"
1.53373354769123e-18,-1.8878129651309,0.104,0.846,3.58203470063288e-14,"UBL5"
1.62326100541867e-18,-1.91446183316454,0.229,0.9,3.79112607815529e-14,"SRP14"
2.14104507424218e-18,-1.70277494106649,0.271,0.949,5.00041077089261e-14,"H3F3B"
2.22091876542661e-18,-1.994125741822,0.312,0.905,5.18695577665386e-14,"SERINC1"
2.40369184726923e-18,-2.16795439745772,0.229,0.905,5.61382230929728e-14,"LDHB"
2.47547960093504e-18,-1.69920294445224,0.125,0.851,5.78148260798378e-14,"NDUFC1"
2.51175683713195e-18,0.377365219088231,0.667,0.19,5.86620809312166e-14,"LRP2"
2.84270559872779e-18,0.299010491421234,0.479,0.083,6.63913892582876e-14,"XDH"
2.97214132935676e-18,-2.68355847224365,0.104,0.793,6.94143607471271e-14,"MRPL33"
3.20902557100702e-18,-2.16596179715328,0.271,0.905,7.49467922108689e-14,"SLC25A3"
3.3536105066424e-18,0.184467223987249,0.312,0.031,7.83235733826333e-14,"STX16-NPEPL1"
3.3816057340707e-18,0.953818712950243,0.583,0.144,7.89774019192213e-14,"LHX2"
3.8759248868455e-18,-2.50393343143599,0.271,0.927,9.05222257322766e-14,"ACTA1"
4.34953611441805e-18,-2.12112126957576,0.333,0.912,1.01583415952233e-13,"LPL"
4.41371670725678e-18,-3.06911607930959,0.292,0.881,1.03082353697982e-13,"FABP4"
4.83333318496263e-18,-2.01457014323209,0.479,0.981,1.12882496534802e-13,"VIM"
4.87938766460227e-18,0.294655185939606,0.625,0.165,1.13958098906786e-13,"MYO5B"
4.95895482142222e-18,-1.66238031431596,0.312,0.98,1.15816389854316e-13,"RPL37A"
5.11741053454856e-18,-1.46486800620989,0.229,0.908,1.19517123034382e-13,"RPS5"
5.24277988032666e-18,0.54968494604649,0.562,0.131,1.22445124105029e-13,"ZAN"
5.60832649100131e-18,-1.90031832622801,0.354,0.925,1.30982465197336e-13,"PDK4"
5.8881347970571e-18,0.8760267641735,0.604,0.141,1.37517388185269e-13,"SBF1P1"
6.031357074378e-18,0.300687764702794,0.667,0.197,1.40862344472098e-13,"MUC5B"
6.13494698387629e-18,0.438796253180762,0.729,0.251,1.43281686808431e-13,"ZNF578"
6.13771332594636e-18,-2.5495026704988,0.104,0.857,1.43346294727477e-13,"COX7B"
6.1625019572375e-18,0.121971354212725,0.646,0.165,1.43925233211282e-13,"MUC4"
6.38708370044923e-18,0.181545314065407,0.292,0.025,1.49170339823992e-13,"B4GALNT4"
6.39267883448725e-18,0.543460889482579,0.604,0.149,1.4930101417945e-13,"SLC24A2"
6.63868110927976e-18,-1.18650757994539,0.167,0.879,1.55046397307229e-13,"USMG5"
6.8105947410461e-18,-2.26343121005163,0.438,0.976,1.59061440177132e-13,"IFITM2"
7.12763225288709e-18,0.397846769205009,0.604,0.154,1.66465851266178e-13,"GRIK3"
7.66614675846761e-18,-2.13063439445193,0.312,0.959,1.79042857544011e-13,"MYL9"
8.2754211109068e-18,0.684083360724323,0.458,0.078,1.93272460045228e-13,"HOXD9"
8.75874831113286e-18,-1.76690850990726,0.229,0.868,2.04560566806508e-13,"ACTN2"
8.85216399550069e-18,0.553912918878677,0.458,0.081,2.06742290114919e-13,"CDH3"
9.40636646773574e-18,-2.87167454820391,0.458,0.946,2.19685688853968e-13,"CD74"
9.74512915309851e-18,-2.70544781451907,0.229,0.868,2.27597491370616e-13,"NDUFB10"
9.80577004115193e-18,-1.208159559459,0.167,0.881,2.29013759311103e-13,"UQCRBP1"
1.03374236998394e-17,0.624055572293667,0.667,0.183,2.4143053050975e-13,"ZNF555"
1.1421019179051e-17,1.52166570136075,0.438,0.07,2.66737902926737e-13,"PTPRVP"
