"is_cluster3","nCount_RNA_mean","nCount_RNA_median","nCount_RNA_sd","nFeature_RNA_mean","nFeature_RNA_median","nFeature_RNA_sd","percent.mt_mean","percent.mt_median","percent.mt_sd"
"Cluster_3",13432.32968331,10107.90820535,8278.26140116443,4680.02083333333,4379,1035.86700225717,0,0,0
"Other",164092.062133732,151505.3026739,96150.8730208684,4507.04753820034,4381,1646.07585761677,0,0,0
