"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"C2","C3","TGFB2","TGFbR1_R2",1.39575211714936e-05,0.03,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C5","C3","TGFB2","TGFbR1_R2",0.000362029686105221,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C5","C4","TGFB2","TGFbR1_R2",0.000400192810198347,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C5","C5","TGFB2","TGFbR1_R2",0.000261651802825192,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C2","C8","TGFB2","TGFbR1_R2",5.43532342975532e-05,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C4","C8","TGFB2","TGFbR1_R2",3.3530909484497e-05,0.01,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C5","C8","TGFB2","TGFbR1_R2",0.0014079462013788,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C8","C8","TGFB2","TGFbR1_R2",0.000107445298723753,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C3","C3","TGFB3","TGFbR1_R2",0.000371106356749012,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C5","C3","TGFB3","TGFbR1_R2",0.000545284388840928,0.01,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C3","C4","TGFB3","TGFbR1_R2",0.000410115112256687,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C5","C4","TGFB3","TGFbR1_R2",0.000602611939357538,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C2","C8","TGFB3","TGFbR1_R2",0.000478028587352903,0.04,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C3","C8","TGFB3","TGFbR1_R2",0.00144215449806216,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C4","C8","TGFB3","TGFbR1_R2",0.00108040321193275,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C5","C8","TGFB3","TGFbR1_R2",0.00211912606070906,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C6","C8","TGFB3","TGFbR1_R2",0.00126275770104048,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C7","C8","TGFB3","TGFbR1_R2",0.000982524695946923,0.01,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C2","C3","TGFB2","ACVR1B_TGFbR2",1.42073585857464e-05,0.01,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"C5","C3","TGFB2","ACVR1B_TGFbR2",0.0003685063418501,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"C8","C3","TGFB2","ACVR1B_TGFbR2",2.80867971326956e-05,0.04,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"C5","C4","TGFB2","ACVR1B_TGFbR2",0.0001341437923629,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"C5","C5","TGFB2","ACVR1B_TGFbR2",0.000256845895902074,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"C5","C8","TGFB2","ACVR1B_TGFbR2",0.000362381014738512,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"C8","C8","TGFB2","ACVR1B_TGFbR2",2.76179182171398e-05,0.02,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"C2","C5","TGFB2","ACVR1C_TGFbR2",1.88247947707877e-05,0,"TGFB2_ACVR1C_TGFBR2","TGFB2 - (ACVR1C+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"C4","C5","TGFB2","ACVR1C_TGFbR2",1.16132251496188e-05,0,"TGFB2_ACVR1C_TGFBR2","TGFB2 - (ACVR1C+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"C5","C5","TGFB2","ACVR1C_TGFbR2",0.000488304179927809,0,"TGFB2_ACVR1C_TGFBR2","TGFB2 - (ACVR1C+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"C8","C5","TGFB2","ACVR1C_TGFbR2",3.72152095020878e-05,0,"TGFB2_ACVR1C_TGFBR2","TGFB2 - (ACVR1C+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"C3","C3","TGFB3","ACVR1B_TGFbR2",0.000377743272589416,0,"TGFB3_ACVR1B_TGFBR2","TGFB3 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"C4","C3","TGFB3","ACVR1B_TGFbR2",0.000283149817219818,0.01,"TGFB3_ACVR1B_TGFBR2","TGFB3 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"C5","C3","TGFB3","ACVR1B_TGFbR2",0.000555036520859452,0,"TGFB3_ACVR1B_TGFBR2","TGFB3 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"C6","C3","TGFB3","ACVR1B_TGFbR2",0.000330569374941165,0.01,"TGFB3_ACVR1B_TGFBR2","TGFB3 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"C7","C3","TGFB3","ACVR1B_TGFbR2",0.000257075262361674,0.04,"TGFB3_ACVR1B_TGFBR2","TGFB3 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"C5","C8","TGFB3","ACVR1B_TGFbR2",0.000545833135147213,0.01,"TGFB3_ACVR1B_TGFBR2","TGFB3 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"C2","C5","TGFB3","ACVR1C_TGFbR2",0.000165667213240851,0.01,"TGFB3_ACVR1C_TGFBR2","TGFB3 - (ACVR1C+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"C3","C5","TGFB3","ACVR1C_TGFbR2",0.000500562769911741,0,"TGFB3_ACVR1C_TGFBR2","TGFB3 - (ACVR1C+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"C4","C5","TGFB3","ACVR1C_TGFbR2",0.000375223816084344,0,"TGFB3_ACVR1C_TGFBR2","TGFB3 - (ACVR1C+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"C5","C5","TGFB3","ACVR1C_TGFbR2",0.000735499455627046,0,"TGFB3_ACVR1C_TGFBR2","TGFB3 - (ACVR1C+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"C6","C5","TGFB3","ACVR1C_TGFbR2",0.000438038499512326,0,"TGFB3_ACVR1C_TGFBR2","TGFB3 - (ACVR1C+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"C7","C5","TGFB3","ACVR1C_TGFbR2",0.000340642357758324,0.01,"TGFB3_ACVR1C_TGFBR2","TGFB3 - (ACVR1C+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"C2","C3","TGFB2","ACVR1_TGFbR",1.51536977954891e-05,0.01,"TGFB2_ACVR1_TGFBR1","TGFB2 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C4","C3","TGFB2","ACVR1_TGFbR",1.62826694656919e-05,0.01,"TGFB2_ACVR1_TGFBR1","TGFB2 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C5","C3","TGFB2","ACVR1_TGFbR",0.000270378211986085,0,"TGFB2_ACVR1_TGFBR1","TGFB2 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C8","C3","TGFB2","ACVR1_TGFbR",2.71448989019769e-05,0,"TGFB2_ACVR1_TGFBR1","TGFB2 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C2","C8","TGFB2","ACVR1_TGFbR",3.50924265744918e-05,0,"TGFB2_ACVR1_TGFBR1","TGFB2 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C4","C8","TGFB2","ACVR1_TGFbR",3.77068053995871e-05,0,"TGFB2_ACVR1_TGFBR1","TGFB2 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C5","C8","TGFB2","ACVR1_TGFbR",0.000625922623202682,0,"TGFB2_ACVR1_TGFBR1","TGFB2 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C8","C8","TGFB2","ACVR1_TGFbR",6.28602572785969e-05,0.03,"TGFB2_ACVR1_TGFBR1","TGFB2 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C3","C3","TGFB3","ACVR1_TGFbR",0.000416344054966803,0,"TGFB3_ACVR1_TGFBR1","TGFB3 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C4","C3","TGFB3","ACVR1_TGFbR",0.00052634345458593,0,"TGFB3_ACVR1_TGFBR1","TGFB3 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C5","C3","TGFB3","ACVR1_TGFbR",0.000407304230973113,0.01,"TGFB3_ACVR1_TGFBR1","TGFB3 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C6","C3","TGFB3","ACVR1_TGFbR",0.000307827665716052,0.02,"TGFB3_ACVR1_TGFBR1","TGFB3 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C7","C3","TGFB3","ACVR1_TGFbR",0.000206814808569684,0.02,"TGFB3_ACVR1_TGFBR1","TGFB3 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C3","C8","TGFB3","ACVR1_TGFbR",0.000963646948055834,0,"TGFB3_ACVR1_TGFBR1","TGFB3 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C4","C8","TGFB3","ACVR1_TGFbR",0.00121806927620352,0,"TGFB3_ACVR1_TGFBR1","TGFB3 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C5","C8","TGFB3","ACVR1_TGFbR",0.000942735078284861,0,"TGFB3_ACVR1_TGFBR1","TGFB3 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C6","C8","TGFB3","ACVR1_TGFbR",0.000712582600649111,0.02,"TGFB3_ACVR1_TGFBR1","TGFB3 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C7","C8","TGFB3","ACVR1_TGFbR",0.000478814067469554,0.04,"TGFB3_ACVR1_TGFBR1","TGFB3 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C3","C2","BMP2","BMPR1B_ACVR2A",2.62459317150214e-06,0,"BMP2_BMPR1B_ACVR2A","BMP2 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C8","C2","BMP2","BMPR1B_ACVR2A",1.51398015088992e-05,0,"BMP2_BMPR1B_ACVR2A","BMP2 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C3","C5","BMP2","BMPR1B_ACVR2A",4.54023081625112e-05,0,"BMP2_BMPR1B_ACVR2A","BMP2 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C8","C5","BMP2","BMPR1B_ACVR2A",0.000261844868704581,0,"BMP2_BMPR1B_ACVR2A","BMP2 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C3","C2","BMP2","BMPR1B_ACVR2B",2.3375085015522e-06,0,"BMP2_BMPR1B_ACVR2B","BMP2 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C8","C2","BMP2","BMPR1B_ACVR2B",1.34837900734956e-05,0,"BMP2_BMPR1B_ACVR2B","BMP2 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C3","C5","BMP2","BMPR1B_ACVR2B",2.73961799273394e-05,0,"BMP2_BMPR1B_ACVR2B","BMP2 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C8","C5","BMP2","BMPR1B_ACVR2B",0.000158013725446362,0,"BMP2_BMPR1B_ACVR2B","BMP2 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C3","C2","BMP2","BMPR1B_BMPR2",1.19420839269403e-05,0,"BMP2_BMPR1B_BMPR2","BMP2 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C8","C2","BMP2","BMPR1B_BMPR2",6.88840928974076e-05,0,"BMP2_BMPR1B_BMPR2","BMP2 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C3","C5","BMP2","BMPR1B_BMPR2",7.82545524618993e-05,0,"BMP2_BMPR1B_BMPR2","BMP2 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C8","C5","BMP2","BMPR1B_BMPR2",0.000451237524630199,0,"BMP2_BMPR1B_BMPR2","BMP2 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C4","C2","BMP4","BMPR1B_ACVR2A",6.71209166386146e-05,0,"BMP4_BMPR1B_ACVR2A","BMP4 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C3","C5","BMP4","BMPR1B_ACVR2A",5.22862598875058e-05,0,"BMP4_BMPR1B_ACVR2A","BMP4 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C4","C5","BMP4","BMPR1B_ACVR2A",0.00115984409942089,0,"BMP4_BMPR1B_ACVR2A","BMP4 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C8","C5","BMP4","BMPR1B_ACVR2A",0.000278082518523605,0.01,"BMP4_BMPR1B_ACVR2A","BMP4 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C4","C2","BMP4","BMPR1B_ACVR2B",5.97794834438419e-05,0,"BMP4_BMPR1B_ACVR2B","BMP4 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C3","C5","BMP4","BMPR1B_ACVR2B",3.15501105423121e-05,0.01,"BMP4_BMPR1B_ACVR2B","BMP4 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C4","C5","BMP4","BMPR1B_ACVR2B",0.000700181830218206,0,"BMP4_BMPR1B_ACVR2B","BMP4 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C8","C5","BMP4","BMPR1B_ACVR2B",0.000167813669542714,0.01,"BMP4_BMPR1B_ACVR2B","BMP4 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C4","C2","BMP4","BMPR1B_BMPR2",0.000305334744237436,0,"BMP4_BMPR1B_BMPR2","BMP4 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C3","C5","BMP4","BMPR1B_BMPR2",9.01191345963893e-05,0.04,"BMP4_BMPR1B_BMPR2","BMP4 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C4","C5","BMP4","BMPR1B_BMPR2",0.00199741449984953,0,"BMP4_BMPR1B_BMPR2","BMP4 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C8","C5","BMP4","BMPR1B_BMPR2",0.00047921404363602,0.01,"BMP4_BMPR1B_BMPR2","BMP4 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C3","C3","BMP5","ACVR1_ACVR2A",4.61848641024873e-05,0,"BMP5_ACVR1_ACVR2A","BMP5 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C4","C3","BMP5","ACVR1_ACVR2A",1.94346746592506e-05,0,"BMP5_ACVR1_ACVR2A","BMP5 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C5","C3","BMP5","ACVR1_ACVR2A",6.98253821756982e-05,0,"BMP5_ACVR1_ACVR2A","BMP5 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C3","C3","BMP5","ACVR1_ACVR2B",1.78111840374964e-05,0,"BMP5_ACVR1_ACVR2B","BMP5 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C4","C3","BMP5","ACVR1_ACVR2B",7.49485528773766e-06,0.02,"BMP5_ACVR1_ACVR2B","BMP5 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C5","C3","BMP5","ACVR1_ACVR2B",2.69285793076998e-05,0,"BMP5_ACVR1_ACVR2B","BMP5 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C3","C3","BMP5","ACVR1_BMPR2",0.000165162214347188,0,"BMP5_ACVR1_BMPR2","BMP5 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C4","C3","BMP5","ACVR1_BMPR2",6.95053540061645e-05,0,"BMP5_ACVR1_BMPR2","BMP5 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C5","C3","BMP5","ACVR1_BMPR2",0.000249686464781042,0,"BMP5_ACVR1_BMPR2","BMP5 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C3","C8","BMP5","ACVR1_BMPR2",0.000266177054560492,0,"BMP5_ACVR1_BMPR2","BMP5 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C4","C8","BMP5","ACVR1_BMPR2",0.000112022069536591,0.01,"BMP5_ACVR1_BMPR2","BMP5 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C5","C8","BMP5","ACVR1_BMPR2",0.000402374106429574,0,"BMP5_ACVR1_BMPR2","BMP5 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C3","C2","BMP5","BMPR1B_ACVR2A",1.63405338114876e-05,0,"BMP5_BMPR1B_ACVR2A","BMP5 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C5","C2","BMP5","BMPR1B_ACVR2A",2.47051355082409e-05,0,"BMP5_BMPR1B_ACVR2A","BMP5 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C3","C5","BMP5","BMPR1B_ACVR2A",0.000282605919367991,0,"BMP5_BMPR1B_ACVR2A","BMP5 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C4","C5","BMP5","BMPR1B_ACVR2A",0.000118938104609439,0,"BMP5_BMPR1B_ACVR2A","BMP5 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C5","C5","BMP5","BMPR1B_ACVR2A",0.000427202732148398,0,"BMP5_BMPR1B_ACVR2A","BMP5 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C3","C2","BMP5","BMPR1B_ACVR2B",1.45531866219078e-05,0,"BMP5_BMPR1B_ACVR2B","BMP5 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C4","C2","BMP5","BMPR1B_ACVR2B",6.1238952105597e-06,0.03,"BMP5_BMPR1B_ACVR2B","BMP5 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C5","C2","BMP5","BMPR1B_ACVR2B",2.20028805602749e-05,0,"BMP5_BMPR1B_ACVR2B","BMP5 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C3","C5","BMP5","BMPR1B_ACVR2B",0.0001705437175348,0,"BMP5_BMPR1B_ACVR2B","BMP5 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C4","C5","BMP5","BMPR1B_ACVR2B",7.17705419914544e-05,0,"BMP5_BMPR1B_ACVR2B","BMP5 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C5","C5","BMP5","BMPR1B_ACVR2B",0.000257820324995095,0,"BMP5_BMPR1B_ACVR2B","BMP5 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C3","C2","BMP5","BMPR1B_BMPR2",7.43469464480237e-05,0,"BMP5_BMPR1B_BMPR2","BMP5 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C4","C2","BMP5","BMPR1B_BMPR2",3.12858451522945e-05,0.04,"BMP5_BMPR1B_BMPR2","BMP5 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C5","C2","BMP5","BMPR1B_BMPR2",0.000112400898275848,0,"BMP5_BMPR1B_BMPR2","BMP5 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C3","C5","BMP5","BMPR1B_BMPR2",0.000487007441724847,0,"BMP5_BMPR1B_BMPR2","BMP5 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C4","C5","BMP5","BMPR1B_BMPR2",0.00020498813761252,0,"BMP5_BMPR1B_BMPR2","BMP5 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C5","C5","BMP5","BMPR1B_BMPR2",0.000736098777362519,0,"BMP5_BMPR1B_BMPR2","BMP5 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C8","C3","BMP6","ACVR1_ACVR2A",0.000149736477749709,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C8","C8","BMP6","ACVR1_ACVR2A",2.52014758271551e-05,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C8","C3","BMP6","ACVR1_ACVR2B",5.77495188106218e-05,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C8","C3","BMP6","ACVR1_BMPR2",0.000535331471189706,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C8","C8","BMP6","ACVR1_BMPR2",0.00086255030691136,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C8","C2","BMP6","BMPR1B_ACVR2A",5.29813719791095e-05,0,"BMP6_BMPR1B_ACVR2A","BMP6 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C8","C5","BMP6","BMPR1B_ACVR2A",0.000915732978565579,0,"BMP6_BMPR1B_ACVR2A","BMP6 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C8","C2","BMP6","BMPR1B_ACVR2B",4.71863957150487e-05,0,"BMP6_BMPR1B_ACVR2B","BMP6 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C8","C5","BMP6","BMPR1B_ACVR2B",0.000552759792335085,0,"BMP6_BMPR1B_ACVR2B","BMP6 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C8","C2","BMP6","BMPR1B_BMPR2",0.000241025737222482,0,"BMP6_BMPR1B_BMPR2","BMP6 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C8","C5","BMP6","BMPR1B_BMPR2",0.00157730959528122,0,"BMP6_BMPR1B_BMPR2","BMP6 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C5","C3","BMP7","ACVR1_ACVR2A",1.77965100095676e-05,0,"BMP7_ACVR1_ACVR2A","BMP7 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C5","C8","BMP7","ACVR1_ACVR2A",2.9949237029548e-06,0,"BMP7_ACVR1_ACVR2A","BMP7 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C5","C3","BMP7","ACVR1_ACVR2B",6.86310367800612e-06,0,"BMP7_ACVR1_ACVR2B","BMP7 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C5","C3","BMP7","ACVR1_BMPR2",6.36468508858769e-05,0,"BMP7_ACVR1_BMPR2","BMP7 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"C5","C8","BMP7","ACVR1_BMPR2",0.000102580114502714,0,"BMP7_ACVR1_BMPR2","BMP7 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
