Sample_Index,ACSL4,GPX4,ACSL4_GPX4_Ratio,NDUFB7
145,8.53527,10.0025,0.8532,7.97957
146,8.84987,10.4275,0.8486,7.89017
147,8.57428,10.1626,0.8436,7.78873
148,8.75744,10.187,0.8596,7.73431
149,8.84474,11.0308,0.8017,8.39921
150,9.17938,10.8678,0.8446,8.02711
151,9.11364,10.888,0.837,8.24788
152,8.44234,10.6286,0.7942,8.16695
153,8.57466,10.7353,0.7987,8.24853
154,8.70955,10.3914,0.8381,7.7388
155,8.95097,10.5413,0.8491,7.9331
156,8.79489,10.5451,0.8339,7.92574
157,8.64454,10.5538,0.819,7.90052
158,8.66689,10.4304,0.8308,8.07482
159,9.1692,10.7229,0.855,8.13199
160,9.07187,10.8135,0.8389,8.40656
161,8.951,10.7168,0.8352,8.20679
162,8.82579,10.652,0.8285,8.12296
163,8.70709,10.7629,0.8089,8.01264
164,9.06076,10.8873,0.8322,8.08519
165,8.48171,10.7499,0.7889,8.27888
166,8.79556,10.9749,0.8014,8.2765
167,9.10073,10.581,0.86,8.02142
168,9.24831,10.5902,0.8732,8.03703
169,8.5178,10.7103,0.7952,8.14644
170,8.55645,10.535,0.8121,8.0236
171,9.81877,11.0312,0.89,8.24683
172,9.63503,10.9752,0.8778,8.10132
173,9.23114,10.7745,0.8567,8.02322
174,9.27316,10.7067,0.866,8.2916
175,9.24981,10.5404,0.8775,8.15606
176,8.83386,10.5799,0.8349,8.29091
177,8.77287,10.7984,0.8123,8.10027
178,8.67261,10.5083,0.8252,7.88876
179,8.47757,10.6789,0.7938,7.95296
180,8.4746,10.3414,0.8194,7.95141
181,8.55762,10.665,0.8023,7.95333
182,9.0086,10.7195,0.8403,8.24667
183,8.98129,10.5508,0.8512,8.13284
184,9.26905,10.721,0.8645,8.09009
185,9.22911,10.6631,0.8654,8.00521
186,9.18388,10.5057,0.8741,7.94325
187,9.07025,10.6383,0.8525,7.99332
188,8.94484,10.5254,0.8498,7.98074
189,9.28168,10.6852,0.8686,8.15754
190,9.05902,10.6181,0.8531,7.83401
191,8.90695,10.6404,0.837,7.99976
192,9.12655,10.4581,0.8726,7.87669
193,9.01578,10.4878,0.8596,7.95451
194,8.724,10.6146,0.8218,7.95317
195,9.08063,10.6635,0.8515,7.92344
196,8.6537,10.4288,0.8297,7.74889
197,8.87375,10.8096,0.8208,7.88217
198,9.48221,10.6912,0.8868,7.97835
199,8.86707,10.5846,0.8377,8.06987
200,8.58047,10.7249,0.8,8.35264
201,8.79556,10.6224,0.8279,7.82271
202,8.70337,10.7409,0.8102,8.29818
203,8.5999,10.6029,0.811,8.16969
204,8.98785,10.583,0.8492,8.09561
205,8.95128,10.7337,0.8339,8.13057
206,8.93305,10.7305,0.8324,7.99893
207,8.94109,10.7699,0.8301,8.00433
208,8.87063,10.2901,0.862,7.95503
209,9.09685,10.8423,0.8389,8.23938
210,9.11099,10.6174,0.858,8.00353
211,9.21837,10.7916,0.8541,7.98605
212,8.98262,10.9163,0.8228,8.23852
213,9.01766,10.9247,0.8254,8.17338
214,8.73664,10.6816,0.8178,8.06751
215,8.63408,10.3757,0.8321,7.97894
216,8.53931,10.3945,0.8214,8.11522
217,8.53451,10.7467,0.7941,8.10833
218,9.35274,10.6191,0.8807,8.01096
219,9.28006,10.4459,0.8883,7.98581
220,8.96648,10.6153,0.8446,7.97083
221,8.90621,10.5838,0.8414,8.14872
222,8.92038,10.3089,0.8652,8.10346
223,8.52699,10.3643,0.8226,8.1829
224,9.19026,10.1962,0.9013,8.13796
225,8.92122,10.3991,0.8578,8.06749
226,8.90358,10.5436,0.8444,7.86698
227,9.322,10.8522,0.8589,8.04404
228,9.03416,10.7561,0.8398,8.07115
229,9.01727,10.5765,0.8525,7.96143
230,8.81117,10.3614,0.8503,7.87438
231,8.66987,10.592,0.8185,7.97068
232,8.54242,10.635,0.8032,8.15294
233,8.98082,10.6087,0.8465,8.11703
234,9.15398,10.7922,0.8481,8.02719
235,9.18974,10.6962,0.8591,8.03383
236,9.051,10.8021,0.8378,8.19684
237,9.03951,10.6444,0.8491,7.99981
238,9.07651,10.7487,0.8444,8.05346
239,8.97758,10.8301,0.8289,8.06084
240,8.87422,10.6825,0.8306,8.01401
241,8.98611,10.6954,0.8401,7.74493
242,9.21861,10.7772,0.8553,8.11955
243,9.21203,10.9051,0.8447,8.13736
244,8.82729,10.5299,0.8382,8.10819
245,9.00626,10.7412,0.8384,8.06776
246,8.91131,10.4571,0.8521,8.06741
247,9.10919,10.748,0.8474,8.05663
248,9.08308,10.1813,0.892,7.78143
249,9.06967,10.4827,0.8651,8.22149
250,8.72534,10.6431,0.8197,8.19425
251,8.98835,10.4744,0.858,8.10159
252,8.55977,10.519,0.8137,8.03004
253,9.17488,10.9477,0.838,8.12807
254,8.87428,10.6029,0.8369,8.18038
255,8.94535,10.2149,0.8756,7.82544
256,8.59299,10.2854,0.8354,7.9485
257,9.14481,10.599,0.8627,7.8255
258,9.05984,9.97284,0.9084,7.71835
259,9.13134,10.1179,0.9024,7.52501
260,8.91003,9.88118,0.9016,7.68639
261,8.7935,9.85271,0.8924,7.78956
262,8.84111,9.93544,0.8898,7.58775
263,9.19115,9.9401,0.9246,7.62918
264,9.34064,10.7762,0.8667,8.11114
265,8.75057,10.8743,0.8046,8.31355
266,9.09904,10.6189,0.8568,8.10607
267,9.12274,11.0811,0.8232,8.15939
268,9.3181,10.789,0.8636,8.0502
269,9.17074,10.6356,0.8622,7.87709
270,9.28777,10.8768,0.8538,7.95336
271,9.29349,10.7231,0.8666,8.0913
272,8.90637,10.3057,0.8641,8.13844
273,8.71602,10.4466,0.8343,8.15471
274,9.2191,10.4731,0.8802,7.749
275,9.0585,11.0897,0.8168,8.06817
276,9.0894,11.0969,0.819,8.09587
277,9.39183,10.9256,0.8595,8.05514
278,8.9492,10.1467,0.8819,7.75061
279,8.67031,10.4521,0.8294,8.03313
280,8.83005,10.5985,0.8331,7.91339
281,9.14091,10.6766,0.8561,8.24416
282,8.68285,10.5435,0.8234,7.99022
283,9.00211,10.2723,0.8763,8.01464
284,9.1796,10.4036,0.8823,8.11892
285,9.14008,10.3427,0.8836,8.16749
286,9.14631,10.1995,0.8967,8.04617
287,8.96847,10.5402,0.8508,8.10147
288,8.90103,10.4663,0.8504,7.92368
289,9.02554,10.7895,0.8364,8.16521
290,8.8872,10.7298,0.8282,8.25133
291,9.07654,10.627,0.854,8.22236
292,9.0043,10.4519,0.8614,8.06387
293,8.72784,10.2938,0.8478,8.0286
294,8.98187,10.4905,0.8561,7.92749
295,8.92477,10.0295,0.8898,8.19994
296,8.85331,10.5044,0.8427,7.94214
297,8.93346,10.8186,0.8257,8.00879
298,8.80393,10.7396,0.8197,8.14818
299,8.73937,10.9091,0.801,8.13573
300,8.8192,10.7224,0.8224,8.16408
301,8.91762,10.7049,0.833,8.06718
302,8.94956,10.6728,0.8385,7.94926
303,9.01966,10.5152,0.8577,7.98802
304,8.9645,10.3057,0.8698,7.99977
305,8.64279,10.5359,0.8202,8.28898
306,8.42586,10.5849,0.796,8.46293
307,8.24413,10.4741,0.787,8.21335
308,9.0657,10.4065,0.8711,8.23686
309,8.90718,10.3067,0.8641,8.24451
310,8.34678,10.2383,0.8152,8.38732
311,9.06891,10.2308,0.8863,8.05952
312,9.18353,10.5925,0.8669,7.986
313,8.84785,10.6841,0.8281,8.1505
314,9.0341,10.6704,0.8466,8.03104
315,8.81107,10.383,0.8485,8.01164
316,8.84197,10.2527,0.8623,7.95007
317,8.65189,10.4723,0.8261,8.18485
318,9.11839,10.4402,0.8733,8.1889
319,8.79866,10.4476,0.8421,8.03376
320,9.31705,10.3855,0.897,7.83551
321,8.94444,10.4194,0.8584,7.70865
322,9.0559,10.2405,0.8842,7.78921
323,8.91886,10.4491,0.8535,7.82001
324,9.22873,10.119,0.9119,7.70735
325,9.32852,10.2808,0.9073,7.61867
326,9.18592,9.99466,0.919,7.65823
327,8.82653,10.3416,0.8534,8.07636
328,9.26099,10.5465,0.878,7.78021
329,9.12749,10.4605,0.8725,7.63561
330,9.04465,10.2433,0.8829,7.57549
