DeathGene,SimpleRho,PartialRho,Attenuation,ROS_Mediated
ACSL4,-0.1364,-0.1372,-0.0059,NO
GPX4,0.1308,0.1281,0.0209,NO
SLC7A11,-0.1833,-0.1827,0.0034,NO
TP53,-0.4206,-0.4198,0.0017,NO
BAX,-0.1356,-0.1356,0.0003,NO
BAK1,0.0056,0.0055,0.0225,NO
CASP3,-0.2776,-0.2785,-0.0031,NO
CASP8,-0.3187,-0.3207,-0.0063,NO
CASP9,0.146,0.1514,-0.0373,NO
PARP1,0.1931,0.2078,-0.0761,NO
