NDUFB7
5
1
5
1
4
0
0
5
20
1
1
2
47
0
7
1
16
0
8
23
6
14
76
7
34
0
15
6
22
6
3
2
0
4
2
2
3
0
0
16
1
5
1
4
13
10
23
5
2
0
41
62
1
0
7
2
22
0
1
3
6
1
0
2
1
4
2
2
21
6
2
1
1
0
2
8
1
5
0
60
8
8
0
19
0
2
1
28
1
11
2
6
0
26
31
4
1
4
2
0
1
1
33
18
1
2
3
11
18
1
15
2
10
0
10
10
64
2
6
15
2
4
4
3
101
4
0
3
10
2
2
8
33
14
31
0
1
0
11
10
11
12
5
0
40
0
1
5
3
21
0
2
599
6
3
4
0
7
4
4
1
1
1
0
0
4
16
2
0
1
0
44
0
3
66
0
1
14
0
0
4
9
2
1
32
0
10
3
0
0
5
25
23
1
0
3
0
2
8
0
0
2
0
0
0
5
2
1
0
0
2
16
8
14
1
1
41
6
0
25
5
3
0
4
13
2
2
3
4
24
2
3
20
0
7
3
0
1
8
0
0
0
21
10
5
13
4
2
21
0
0
0
2
1
3
37
4
0
10
54
7
0
41
6
7
5
0
0
3
1
23
12
0
2
3
5
12
0
26
1
0
9
6
1
1
40
0
1
3
8
1
0
3
5
22
7
3
0
8
11
12
4
1
5
0
29
4
3
1
19
9
0
0
3
2
1
11
2
0
30
15
2
0
8
1
0
13
1
0
21
3
0
1
4
8
0
0
0
0
0
5
11
91
30
1
18
7
8
22
0
13
31
0
3
39
173
0
0
0
10
7
2
0
1
5
0
6
3
0
0
1
0
1
25
1
0
11
2
0
13
2
0
5
0
0
9
0
70
0
1
41
16
6
4
0
1
1
2
2
0
1
1
0
10
2
0
0
1
0
10
12
56
0
1
1
11
7
0
13
0
23
0
0
28
5
1
2
0
0
1
0
24
1
4
2
1
28
11
2
0
3
19
1
16
13
38
0
32
24
1
2
83
17
1
21
0
1
28
28
17
2
2
0
0
0
0
1
26
0
1
10
0
4
1
0
1
2
7
1
16
0
1
0
8
0
4
3
133
1
20
0
3
60
0
0
0
1
39
2
1
0
30
1
0
0
4
0
51
2
61
3
1
1
1
1
1
2
1
0
1
11
48
1
19
8
1
1
1
62
1
1
0
1
1
0
0
4
1
3
1
2
1
6
0
2
2
0
18
0
0
1
1
4
2
1
0
1
0
1
183
1
2
1
1
0
0
1
43
0
19
18
7
0
0
0
202
37
0
0
0
0
13
0
3
0
0
1
40
0
0
16
1
0
0
0
0
1
50
0
25
2
0
1
1
0
0
0
1
0
0
8
0
12
1
49
2
0
0
1
0
0
0
1
1
60
11
45
24
0
4
43
0
0
0
1
20
140
3
1
110
1
0
5
0
3
20
0
229
11
1
23
1
2
0
0
1
3
109
0
0
2
2
7
0
5
22
20
6
0
54
5
31
3
8
6
0
0
1
8
2
7
16
0
37
101
4
0
0
1
0
2
151
3
3
13
0
19
0
187
0
0
2
29
0
0
72
23
82
1
1
1
0
0
2
23
2
30
23
3
0
5
2
1
1
19
0
3
98
6
0
0
0
0
2
0
0
2
4
30
9
13
1
11
37
20
12
15
3
21
28
20
1
8
24
4
12
5
16
128
78
1
1
71
3
6
3
6
35
14
9
19
17
12
35
18
47
16
27
0
99
128
25
1
0
5
11
33
17
13
1
32
11
29
2
14
56
56
3
3
27
8
9
6
37
60
2
92
19
2
6
22
0
4
1
10
2
53
51
5
70
179
5
20
60
4
23
21
13
63
1
18
18
10
15
26
49
3
10
1
8
20
42
0
2
2
14
14
54
13
8
2
22
5
7
5
3
14
22
27
4
26
4
8
12
7
5
3
24
58
19
36
5
21
5
9
18
39
2
4
0
20
8
10
128
62
11
27
23
8
86
17
0
6
0
12
65
3
51
8
29
12
11
2
6
10
28
25
10
15
32
45
77
23
4
15
19
25
21
146
27
5
12
9
7
23
101
8
78
14
30
0
122
361
0
0
0
51
0
3
1
1
92
91
16
12
6
3
218
263
0
0
13
0
8
2
2
23
18
0
0
67
0
0
0
0
1
11
0
5
59
0
63
1
0
0
96
0
0
476
6
70
0
1
3
6
0
2
9
1
0
1
1
1
3
1
2
13
44
5
0
21
0
3
0
1
22
10
4
0
1
1
1
0
4
0
1
1
89
2
66
0
0
0
4
118
2
0
0
0
4
1
169
0
13
5
73
2
0
19
7
235
120
1
10
45
0
0
3
0
0
13
1
0
8
12
95
1
2
1
0
95
0
0
6
14
30
0
31
0
15
0
10
18
0
0
108
5
10
1
290
2
97
1
2
44
56
19
0
0
0
0
5
0
10
0
12
0
88
0
2
1
43
0
42
1
1
53
0
2
7
0
0
1
82
1
8
1
0
50
0
19
1
11
10
9
2
0
1
2
0
23
15
0
10
1
1
5
1
5
0
1
79
10
107
7
1
0
0
0
24
2
0
0
0
0
23
0
0
0
1
1
0
97
0
0
0
1
1
1
146
42
1
0
40
1
0
0
6
13
20
6
0
1
1
11
125
0
205
1
1
0
1
0
0
0
166
131
0
2
0
19
1
1
39
1
0
0
0
69
17
1
0
0
11
0
0
42
2
1
5
0
2
1
1
0
86
0
1
6
0
1
1
0
0
1
191
1
0
3
21
46
37
12
4
19
1
0
19
53
0
23
0
1
126
0
0
0
1
1
0
1
0
0
88
2
1
0
2
0
5
0
1
0
0
24
142
0
65
0
2
1
45
20
0
1
1
0
0
219
0
0
0
33
0
0
1
27
84
15
44
28
0
0
0
0
63
0
30
13
3
70
0
3
24
0
2
65
8
0
58
36
1
2
116
2
2
1
26
34
4
3
37
56
0
3
1
12
224
0
31
1
30
78
62
56
1
578
1
33
0
48
8
1
0
1
34
0
29
1
0
21
1
0
1
0
46
1
57
0
2
3
0
5
136
73
1
23
160
39
0
1
0
0
0
2
168
23
0
1
7
27
0
2
0
55
2
166
76
269
1
0
2
0
0
25
1
0
2
1
1
0
0
0
1
22
24
35
14
74
1
1
0
150
1
2
88
5
1
9
66
151
2
17
1
10
0
1
0
0
2
63
264
1
52
1
105
1
3
0
4
0
41
32
0
1
31
1
17
96
50
121
0
1
0
7
94
1
107
37
3
22
0
0
0
0
67
59
59
34
125
0
46
12
0
43
7
0
23
0
5
22
0
13
3
87
17
0
1
38
64
88
28
33
8
0
23
4
58
0
1
1
1
2
0
44
38
1
6
1
0
0
1
0
0
0
5
28
0
0
37
257
27
3
0
87
0
21
150
80
0
20
0
0
17
1
6
0
0
143
2
0
186
62
0
0
62
0
0
12
7
11
0
2
0
0
104
0
62
0
0
8
1
3
0
1
0
63
114
1
