"Complex","N_Genes","Group1","Group1_Mean","Group2","Group2_Mean","Log2FC","P_Value","Direction"
"Complex_I",5,"Control",1.57997581317729,"HF",1.15411378399847,-0.453117007090774,1.97944916417827e-14,"DOWN"
"Complex_II",4,"Control",0.305318599308513,"HF",0.291724260226478,-0.0657101099874915,0.696931722967,"DOWN"
"Complex_III",3,"Control",1.11517506545836,"HF",0.804803693348932,-0.470561378031634,2.12424602179055e-06,"DOWN"
"Complex_IV",4,"Control",2.83599325552492,"HF",2.06418787595376,-0.458279815258824,9.367407482942e-26,"DOWN"
