File,UMAP1,UMAP2,NDUFB7,Has_NDUFB7
Visium_control_P1.h5ad,-3.7928361850724137,-1.0755367897524948,2.8216718258978037,True
Visium_control_P1.h5ad,1.8309655231490218,-0.6695219896807785,2.386757959435207,True
Visium_control_P1.h5ad,-3.363144631956569,-1.82750708089019,2.562368631582984,True
Visium_control_P1.h5ad,2.708491329576024,1.5353370286450272,1.608798219464901,True
Visium_control_P1.h5ad,-2.6674318271622575,1.276703683279503,1.452642393416585,True
Visium_control_P1.h5ad,2.6591863674178207,0.04836624636505893,3.0749577651646125,True
Visium_control_P1.h5ad,1.583750252152928,0.012566087387550384,2.1449340759279427,True
Visium_control_P1.h5ad,-3.9430018621430314,-0.5474792145266647,2.320693782020255,True
Visium_control_P1.h5ad,-0.1330437618241227,-1.6277871750369186,1.7487146960134656,True
Visium_control_P1.h5ad,-4.92946128127431,-1.321947874881279,2.0202516733038913,True
Visium_control_P1.h5ad,-0.6031508403763688,-0.37219363675261685,1.9455673702585383,True
Visium_control_P1.h5ad,-3.0807287651047623,0.6186160124764328,1.303956572307046,True
Visium_control_P1.h5ad,-2.8142561870560563,-0.5712704084887619,1.517458480043283,True
Visium_control_P1.h5ad,-2.8961019474015153,-0.7667154692187423,1.5837029287233872,True
Visium_control_P1.h5ad,-1.502802606199733,0.31220423951004794,1.7028076330685478,True
Visium_control_P1.h5ad,-4.005617971991054,-1.4705322407260055,1.879371849448831,True
Visium_control_P1.h5ad,2.4460864109053695,3.100643096111763,0.0,True
Visium_control_P1.h5ad,-0.04305219230507973,-2.7137778423800585,1.2802120843336546,True
Visium_control_P1.h5ad,1.5414710086836898,-1.3300533913149948,2.7581759012660276,True
Visium_control_P1.h5ad,-0.16345166740273598,-0.86108440385009,0.0,True
Visium_control_P1.h5ad,1.1154398960127914,-0.13172596917296597,2.356229966001738,True
Visium_control_P1.h5ad,0.8679842990889632,1.0217575631961708,1.8885985065094348,True
Visium_control_P1.h5ad,-0.24019860801552895,-2.7552958153262255,2.065623497402478,True
Visium_control_P1.h5ad,1.755378727342137,-1.7424677036776657,1.891699917416542,True
Visium_control_P1.h5ad,2.4713854831709945,0.22084432616089633,2.704510704113377,True
Visium_control_P1.h5ad,1.4645557445540511,-1.1626098774447555,2.289283898572829,True
Visium_control_P1.h5ad,-1.1186294513688004,-1.6507995747103805,1.735122818409692,True
Visium_control_P1.h5ad,-3.9136779266343034,-2.556573691226494,1.6146851603048318,True
Visium_control_P1.h5ad,0.30583382072592613,-1.098990979053032,2.5423577608347805,True
Visium_control_P1.h5ad,-1.3218879657730973,-2.5347006939425585,1.2269469809759534,True
Visium_control_P1.h5ad,2.2835073513045394,-0.7577862165942306,0.0,True
Visium_control_P1.h5ad,-0.031095023725978166,1.004898013399962,2.6451515571147453,True
Visium_control_P1.h5ad,-1.9212319808945573,-1.7534273289218063,2.135666684336786,True
Visium_control_P1.h5ad,0.40759754600668785,-0.38137799725676724,2.518318183586925,True
Visium_control_P1.h5ad,-1.2035582023606217,0.10793554558609775,1.9066730624564856,True
Visium_control_P1.h5ad,0.6139831584944808,0.1120892144665604,1.348447098420586,True
Visium_control_P1.h5ad,-0.8254475551590836,0.09088849797104648,2.823031900711972,True
Visium_control_P1.h5ad,-0.9596586185440934,1.5001615859494095,2.8619840501461895,True
Visium_control_P1.h5ad,-2.2171471076950944,-1.2749360226168747,1.3373637376483105,True
Visium_control_P1.h5ad,-4.06700181541299,-2.5192871712222216,1.1250268530147582,True
Visium_control_P1.h5ad,-4.504538591478816,0.6872189022526627,2.612584186877958,True
Visium_control_P1.h5ad,-3.4790680366501725,-0.11285847649718472,2.7943227250549953,True
