"quantile","breakpoint","n_early","n_late","mean_early","mean_late","delta","p_val"
0.25,0.448411104584319,126,377,4.27975524659923,3.85855311295824,-0.421202133640993,0.0584242080721521
0.33,0.825881403050596,166,337,4.35871361498887,3.76966535480299,-0.589048260185878,0.00432289854212484
0.4,1.44690921441837,201,302,4.319853664545,3.72726191418283,-0.592591750362172,0.00394210262888826
0.5,1.61152912539695,252,251,4.2301438478393,3.69692205179783,-0.533221796041467,0.012165183765975
0.6,2.48037448618354,302,201,4.18507567346747,3.63199418542081,-0.55308148804666,0.0159107968490704
0.67,2.83686514018257,337,166,3.87276809939648,4.14940262144667,0.276634522050193,0.242195236444168
0.75,3.39620498452349,377,126,3.88281809675301,4.20715287445138,0.324334777698368,0.214806303745805
