layer,aucell,sum,n
NDUFB7_zero,-0.4214127670330698,-0.036451373776365356,55672
NDUFB7_low,-0.8010198749285443,0.20151878972197912,4419
NDUFB7_high,-0.23973435525959266,0.25770747886318285,4419
