"source","target","pathway_name","prob","pval"
"C2","C2","CDH",0.00149370876608299,0.03
"C2","C2","EPHA",1.52084823290466e-05,0.02
"C2","C2","NRXN",1.29142379093872e-07,0
"C2","C3","CD39",8.75105536718749e-06,0
"C2","C3","CD46",0.00235009072368913,0.02
"C2","C3","CDH5",0.0112741910404849,0.04
"C2","C3","COLLAGEN",0.034084583701967,0.00875
"C2","C3","CXCL",0.000117336869186,0.02
"C2","C3","EPHA",0.00387107499709023,0.00142857142857143
"C2","C3","EPHB",0.00246135518983471,0.00666666666666667
"C2","C3","ESAM",0.0352214126674246,0
"C2","C3","FGF",1.61862519819728e-05,0
"C2","C3","FN1",0.00361075544108183,0
"C2","C3","GAS",0.00324203561118478,0
"C2","C3","JAM",0.000362222474412926,0.02
"C2","C3","LAMININ",0.0653436343000783,0.006875
"C2","C3","NPR1",0.0146505132318556,0
"C2","C3","NRXN",5.49188628735517e-08,0
"C2","C3","PDGF",0.00102048444016521,0.03
"C2","C3","PROS",0.00033268775864374,0.02
"C2","C3","PTPRM",0.00274677517191661,0.01
"C2","C3","SEMA6",0.000277650675549691,0.01
"C2","C3","TGFb",4.3318577552729e-05,0.0166666666666667
"C2","C3","VEGF",0.0115143952627548,0.00333333333333333
"C2","C3","ncWNT",0.000512213087914633,0
"C2","C4","COLLAGEN",0.00572069112398307,0.0233333333333333
"C2","C4","COMPLEMENT",5.60582499536802e-06,0.01
"C2","C4","CSF",3.20779112427434e-05,0
"C2","C4","CXCL",0.00256024337710315,0
"C2","C4","EPHA",0.000770037117220955,0
"C2","C4","GAS",0.00434462860147903,0
"C2","C4","ICAM",6.73666777818566e-06,0.01
"C2","C4","LAMININ",0.00430010488570491,0
"C2","C4","MHC-II",0.0109401913155958,0
"C2","C4","NEGR",3.76460607414963e-05,0
"C2","C4","NOTCH",0.000347411786877436,0.005
"C2","C4","NPR1",0.00209988339168559,0
"C2","C4","PDGF",0.00109877098599808,0
"C2","C4","PROS",0.000477642699347763,0
"C2","C4","PTN",0.00213005292979008,0
"C2","C5","AGRN",9.82662172090377e-05,0.04
"C2","C5","AGT",5.52902768443177e-05,0
"C2","C5","CADM",0.00011790146186072,0
"C2","C5","CD39",0.00012670938363946,0
"C2","C5","CD45",4.72286379484813e-06,0
"C2","C5","COLLAGEN",0.00166225486917738,0.025
"C2","C5","CSF",3.18500183690554e-05,0.01
"C2","C5","EPHA",0.00145213471362805,0.003125
"C2","C5","EPHB",0.000887412132200612,0
"C2","C5","FGF",5.11910967734315e-05,0.005
"C2","C5","FN1",0.000849733654977336,0.02
"C2","C5","GAS",0.000387555729287411,0
"C2","C5","HSPG",0.000575024423016989,0.01
"C2","C5","ICAM",6.15921544666837e-05,0.01
"C2","C5","IGF",0.000296738293622793,0.00666666666666667
"C2","C5","LAMININ",0.00644895531586021,0.00461538461538462
"C2","C5","NCAM",0.000120756594414955,0.005
"C2","C5","NPR1",0.00819335195368757,0.005
"C2","C5","NRXN",5.14537093718788e-05,0
"C2","C5","PDGF",0.000432541770046556,0.02
"C2","C5","PERIOSTIN",8.90440762518058e-05,0.01
"C2","C5","PROS",4.24571739818484e-05,0
"C2","C5","PTN",0.00276307229844199,0.02
"C2","C5","SEMA3",0.000176241356481586,0.01
"C2","C5","SEMA5",0.000103937545542912,0
"C2","C5","SEMA6",0.000309801739746512,0.0133333333333333
"C2","C5","TENASCIN",1.55090384329281e-05,0
"C2","C5","TGFb",0.000184492008011639,0.005
"C2","C5","THBS",0.000376141511683902,0.04
"C2","C5","VWF",0.002883991645172,0
"C2","C5","ncWNT",7.24643206068251e-05,0
"C2","C6","CDH",0.00680723386101284,0
"C2","C6","IGF",3.04948251032267e-05,0.03
"C2","C7","ANNEXIN",0.0570413480709876,0
