"","C2","C3","C4","C5","C6","C7","C8"
"C2",0.00150904639079113,0.193061723448999,0.0348717246795437,0.0289225893466033,0.00683772868611607,0.123386870022738,0.148818335498735
"C3",0.154763542202263,0.838930249785382,0.502397300108513,0.106530758301972,0.020844508022943,0.326620638533518,0.804031884761387
"C4",0.276983114990505,1.06461806164414,0.657732770289016,0.160999315204775,0.11559316890378,0.579594067517888,0.870922034656474
"C5",0.0378272562102162,0.143223929308003,0.078840678615075,0.0931225738534046,0.018011731636184,0.0633061616812246,0.13965038088739
"C6",0.0468294152017676,0.198078076709123,0.0717957355315299,0.0231391466555701,0.0586401336045294,0.11203095804326,0.175507929809072
"C7",0.0786177836105084,0.305567591452539,0.19380811510778,0.0415206963674201,0.0607053059748228,0.209746052572032,0.326529013753709
"C8",0.0719967855148995,0.71836170977229,0.452973797211346,0.113319176239281,0.0213559871042741,0.344293754776314,0.755405805268213
