sample,group,n_spots,n_expressing,pct_expressing,NDUFB7_mean_all,NDUFB7_mean_expr
GSM6613059_snd0_1,SND,12627,375,2.969826562128772,0.033182863146066666,1.1173332929611206
GSM6613072_snd3_2,MI_d3,4904,366,7.463295269168026,0.0976753681898117,1.3087431192398071
GSM6613080_V_sham_1_Np_2,sham,3540,3429,96.86440677966101,5.512712001800537,5.691163539886475
GSM6613084_V_d1_1,MI_d1,2251,2111,93.78054198134163,6.625055313110352,7.064424514770508
GSM6613090_V_Human_STEMI,MI_d7,1551,746,48.098001289490654,0.8742746710777283,1.8176944255828857
