pathway,rho,p,n_genes
OXPHOS,0.06872167166493624,2.2286669747280423e-68,7
Glycolysis,0.005447829394010279,0.16646020516599666,5
FattyAcidOxidation,-0.012251169094962294,0.0018600793215649111,4
Mitophagy,0.038863479685325136,5.375170301701882e-23,5
Apoptosis,-0.014266203228527344,0.0002905743101756807,5
Necroptosis,-0.023408584915837232,2.744328015428366e-09,3
Pyroptosis,-0.07448061702742444,5.030148682788482e-80,4
Ferroptosis_v2,-0.0329571307965965,5.624878437473956e-17,7
