Method,genes_matched,genes_total,spearman_rho,spearman_p
Classic_ROS,14,15,0.08429622205161877,2.178702070430955e-299
NFE2L2_targets,13,13,0.050958225914880174,1.838603071560925e-110
Antioxidant_enzymes,12,13,0.08119459180456652,7.569885444500877e-278
Oxidative_damage_repair,7,7,0.06093179121182442,3.664545907666246e-157
mtROS,7,8,0.09620277458058377,0.0
