,NDUFB7,NDUFAF3,FTL,SAT1,NFE2L2,SLC7A11,ACSL4
NDUFB7,1.0,0.031069420213131548,0.03988532090986749,0.008618712370618384,0.02381695893823117,0.0014662828467935066,0.020701184249757056
NDUFAF3,0.031069420213131548,1.0,0.04398820018491001,0.0044066318075059105,0.023864898916192062,-0.0002089683469390228,0.016899338451390897
FTL,0.03988532090986749,0.04398820018491001,1.0,-0.0043782919699755195,0.04801311447039179,0.007644931262576778,-0.0007036309872936795
SAT1,0.008618712370618384,0.0044066318075059105,-0.0043782919699755195,1.0,0.02604729812591558,0.021249094589127666,0.05363270342456499
NFE2L2,0.02381695893823117,0.023864898916192062,0.04801311447039179,0.02604729812591558,1.0,0.008828277185477157,0.039040805222231995
SLC7A11,0.0014662828467935066,-0.0002089683469390228,0.007644931262576778,0.021249094589127666,0.008828277185477157,1.0,0.01318835549085593
ACSL4,0.020701184249757056,0.016899338451390897,-0.0007036309872936795,0.05363270342456499,0.039040805222231995,0.01318835549085593,1.0
