region,ndufb7,cm_score,fb_score,ndufb7_residual,cm_bin
FZ,0.0,3.8103871254485697,1.3379597068237994,-1.5675432684779007,Q4
FZ,0.0,1.232097327720726,2.4913639533264726,-0.38525043286734106,Q1_low
FZ,0.0,0.5516351802532056,2.332487249186872,-0.07321975169100153,Q1_low
FZ,0.0,1.5363683949052558,2.0651752486198705,-0.5247760607206851,Q1_low
FZ,0.0,0.4349574353638612,2.5040699337176737,-0.01971635499004243,Q1_low
FZ,0.0,1.2716304172005501,1.9838440033286344,-0.4033786077927266,Q1_low
FZ,2.145600211930912,3.6079263222899924,1.7006214098965333,0.6708967620324788,Q3
FZ,2.9377376799024493,3.5587315726561193,0.9193032003470987,1.485592826827787,Q3
FZ,0.0,1.2989041682953513,2.6962748711006777,-0.4158851772823262,Q1_low
FZ,2.33405124906741,2.12463415425357,2.427323939770954,1.5395218063469827,Q1_low
FZ,0.0,0.7320897606298312,2.7796751709495906,-0.15596846276312865,Q1_low
FZ,2.8748298291020755,0.5749659658204151,1.4374149145510378,2.7909115823661854,Q1_low
FZ,0.0,2.41999186034421,1.1528536646465106,-0.929967786447758,Q1_low
FZ,0.0,1.9213883169036752,1.5723175551488264,-0.7013296412170378,Q1_low
FZ,0.0,0.8171264512245873,1.5100460102025306,-0.19496263251969087,Q1_low
FZ,1.4316806287998687,3.6517999347075154,2.2336399693967834,-0.06314137320209601,Q3
FZ,2.5030900218169907,4.149189745326035,1.1403140727496766,0.780186440266363,Q4
FZ,0.0,3.8363972901780614,1.7472595647534979,-1.5794704115941745,Q4
FZ,0.0,0.0,2.97606423306075,0.17973642183877803,Q1_low
FZ,0.0,2.936016654037639,2.837864104070298,-1.166594567936329,Q2
FZ,0.0,0.9737307588202857,2.6516864323020037,-0.26677463404850066,Q1_low
FZ,0.0,1.6409649001984925,1.9517233665852567,-0.5727395204322645,Q1_low
FZ,1.950277118377525,3.870520761475505,1.8452189119065414,0.35515915014457233,Q4
FZ,0.0,1.4651745429097647,0.9854199677301415,-0.4921296215081631,Q1_low
FZ,1.562799336125644,2.7040150323832997,2.3454119203253048,0.5025907358852981,Q1_low
FZ,0.0,1.7615861337588234,2.739102509648877,-0.6280512314690007,Q1_low
FZ,0.0,0.700442742208667,3.092019788364505,-0.14145650092673956,Q1_low
FZ,3.0294107032269486,3.300825693803259,2.439227572944752,1.6955303963248294,Q3
FZ,1.7587854231259294,2.371239255630683,2.0770087042892293,0.8511734848535599,Q1_low
FZ,1.4863981834139455,3.5565999537802098,1.1865819034696987,0.035230799096853005,Q3
FZ,0.0,2.3835127024787903,1.6214184508743728,-0.9132400132426666,Q1_low
FZ,0.0,1.730589228203725,2.327669076688633,-0.6138373834383463,Q1_low
FZ,2.2531729296310523,1.3334344323348812,3.0226690019034788,1.8214536580503835,Q1_low
FZ,0.0,0.5180102718354717,2.887596538038845,-0.05780081455081573,Q1_low
FZ,0.0,2.2076506618425213,2.007762158624095,-0.8325972434177435,Q1_low
FZ,0.0,0.0,2.3608413286088616,0.17973642183877803,Q1_low
FZ,2.3672545272508088,2.1717560758574677,2.272921765309279,1.5511169975102226,Q1_low
FZ,1.6236684242468011,3.6051271120344905,1.9831114963542067,0.15024857180640572,Q3
FZ,0.0,1.8703737519292734,1.7837808270751323,-0.6779365553295719,Q1_low
FZ,1.0849999261802261,1.0649430971117948,2.8670499815804398,0.776399235892286,Q1_low
FZ,0.0,1.2508229311198718,2.0893518981432484,-0.3938371893912993,Q1_low
FZ,1.5349293503152626,1.4734508547504817,2.439008267893907,1.0390045680756792,Q1_low
FZ,0.0,3.5917989173932225,0.5059869812526528,-1.4673081154859688,Q3
FZ,1.8562304934873313,3.4997912798700868,1.7922727114920063,0.43111312427081616,Q3
FZ,0.0,3.5758971270015847,1.1854456673355982,-1.4600162381842077,Q3
FZ,0.0,2.5885029851745274,2.2203647465009637,-1.0072397423710737,Q1_low
FZ,2.3223516426511424,1.521987682805018,2.763396256093304,1.804169958133657,Q1_low
FZ,2.725584586992411,1.0902338347969645,3.0567630711439673,2.405386651895593,Q1_low
FZ,0.0,4.065681434944581,1.2516454476906014,-1.6846102612400309,Q4
FZ,2.0556596178287996,3.572556558988116,1.9599326674359445,0.5971752204922245,Q3
FZ,1.546021361357241,3.3953763787856333,2.0854069913075532,0.16878417597107975,Q3
FZ,0.0,3.6092281386401566,1.3292399810781503,-1.4753004068989362,Q3
FZ,2.460156041226102,2.448192444103325,2.9907800690815685,1.517256679682395,Q1_low
FZ,1.4911814428667027,1.4332198615110634,3.3469062323830974,1.0137048642070188,Q1_low
FZ,0.0,2.0516267073866787,0.6565384811948377,-0.7610513668838743,Q1_low
FZ,2.594625683033217,1.0378502732132868,2.9221733811489248,2.298448596802467,Q1_low
FZ,1.2108295446637947,3.3448590935399536,1.3753696636187647,-0.14324258593562522,Q3
FZ,0.0,1.8445826584852791,0.713252108186326,-0.6661098688848328,Q1_low
FZ,0.0,2.5271797031317256,3.025569759142849,-0.9791195221075395,Q1_low
