"Condition","CM_Score","Ferro_Score","OXPHOS","Ferro_Def","NDUFB7"
"Donor",0.836945519047452,-0.0504996622359224,0,0.115524530093324,1
"Donor",1.16310860618052,-0.117561795637497,0.447939867307014,0.298626578204676,0
"Donor",0.81075278307111,0.0472838686237116,0.621226662447,0.115524530093324,0
"Donor",0.92886261896365,0.0330567676382422,0.346573590279973,0,0
"Donor",1.17361756818335,0.276007375548915,0.274653072167027,0.597253156409352,0
"Donor",0.845567058186129,-0.217523161381183,0.173286795139986,0.115524530093324,0
"Donor",0.412638156728535,0.18004952472147,0.274653072167027,0.115524530093324,0
"Donor",1.05927211407274,-0.0682244040770997,0,0.115524530093324,0
"Donor",1.34193849617687,0.0323412043478774,0.173286795139986,0.231049060186648,0
"Donor",1.12340770094602,-0.247312119490871,0.519860385419959,0.115524530093324,0
"Donor",0.876570725783727,0.302252793920923,0,0.231049060186648,1
"Donor",0.565123422572705,0.197433849220419,0.346573590279973,0.115524530093324,0
"Donor",1.14119912686761,-0.106370615758423,0.346573590279973,0.298626578204676,2
"Donor",0.670885290827122,0.0789686838345993,0.519860385419959,0.183102048111352,0
"Donor",0.277402334111231,-0.244813699841744,0,0.115524530093324,0
"Donor",1.31678029749416,-0.156412675824029,0.346573590279973,0.231049060186648,0
"Donor",1.09459520520287,-0.175897637088573,0.447939867307014,0,0
"Donor",0.480882893942722,-0.0188980213305518,0.346573590279973,0.231049060186648,1
"Donor",0.537881603170255,-0.137191801036114,0,0,0
"Donor",1.00278602279844,-0.0179665539151904,0.519860385419959,0.231049060186648,0
"Donor",0.422901891788337,0.255650578711391,0,0.231049060186648,0
"Donor",0.250797384497999,0.607605644780251,0,0.346573590279973,0
"Donor",0.443147851371889,-0.132507521214498,0.173286795139986,0.115524530093324,0
"Donor",0.388834089021214,-0.140018013792402,0.346573590279973,0,0
"Donor",0.805075972462397,-0.0680713585360764,0.173286795139986,0.298626578204676,0
"DCM",0.459151364403678,-0.23926392972206,0.173286795139986,0.115524530093324,0
"Donor",0.95975927914298,-0.185724077274653,0.519860385419959,0.115524530093324,0
"Donor",0.480021728176585,-0.0054463153239431,0.173286795139986,0.183102048111352,1
"Donor",0.910174985214813,0.105718028781973,0.447939867307014,0.231049060186648,0
"Donor",0.297600884174682,0.188423369799914,0,0.231049060186648,1
"Donor",0.873775335670477,0.0694962581484366,0.519860385419959,0.115524530093324,0
"Donor",1.0389322625474,0.150178735057681,0.346573590279973,0.298626578204676,0
"Donor",0.68326603717269,0.019267214682979,0.519860385419959,0.346573590279973,0
"Donor",1.07440640889849,-0.115455923574468,0.447939867307014,0,0
"Donor",1.0876501047013,-0.0856374441552579,0.173286795139986,0,0
"Donor",1.38373139406895,0.0165760565740229,0.173286795139986,0,0
"Donor",0.860402759317366,0.160078757232421,0.346573590279973,0,0
"Donor",1.08023231788079,0.224239558343959,0,0.231049060186648,0
"Donor",1.25481835945302,0.026371219467317,0,0,0
"Donor",0.308867700936163,-0.269908682635867,0,0,1
"Donor",0.466139396584398,-0.131155050998464,0,0,0
"Donor",1.16889168346447,0.254700783045944,0.621226662447,0,0
"Donor",0.546206957418855,-0.118085667510627,0.173286795139986,0,1
"Donor",0.748978620988733,-0.252216400373351,0.346573590279973,0,0
"Donor",0.792768502679313,0.0673767163421164,0.346573590279973,0.115524530093324,0
"Donor",0.500127924180986,0.223130183636855,0.173286795139986,0.231049060186648,0
"Donor",1.39682912811259,-0.222198626339976,0.549306144334055,0.115524530093324,1
"Donor",0.453327361659646,-0.0164469476223777,0.173286795139986,0.298626578204676,0
"Donor",0.814687330578828,0.0674101725347866,0.447939867307014,0.231049060186648,0
"Donor",0.876789072389177,-0.0437146589038746,0,0.115524530093324,1
"DCM",0.393233555157167,0.116901309564642,0,0.115524530093324,0
"Donor",0.330800952502289,-0.117179483682323,0.173286795139986,0.414151108298,0
"Donor",0.81834814645766,0.125661704637078,0.173286795139986,0,0
"Donor",1.64788855240695,0.0461557540692911,0.346573590279973,0.231049060186648,0
"Donor",0.87515666274792,0.0204805923255707,0.173286795139986,0.231049060186648,0
"Donor",0.586717537282706,0.0899965188217491,0.173286795139986,0.346573590279973,0
"DCM",0.741375381982737,0.367315551249515,0,0.115524530093324,0
"Donor",1.10612472250076,-0.127721179909596,0.173286795139986,0,0
