dataset,ndufb7_expression
GSE168742_human_HF_CM,63.876
GSE168742_human_HF_CM,57.0638
GSE168742_human_HF_CM,137.368
GSE168742_human_HF_CM,62.0285
GSE168742_human_HF_CM,186.009
GSE168742_human_HF_CM,195.259
GSE168742_human_HF_CM,6.74468
GSE168742_human_HF_CM,73.6593
GSE168742_human_HF_CM,330.7
GSE168742_human_HF_CM,85.1422
GSE168742_human_HF_CM,226.058
GSE168742_human_HF_CM,205.417
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,62.5577
GSE168742_human_HF_CM,213.117
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,145.323
GSE168742_human_HF_CM,56.4267
GSE168742_human_HF_CM,210.07
GSE168742_human_HF_CM,78.5563
GSE168742_human_HF_CM,198.648
GSE168742_human_HF_CM,77.0435
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,11.1578
GSE168742_human_HF_CM,68.5179
GSE168742_human_HF_CM,142.756
GSE168742_human_HF_CM,68.6076
GSE168742_human_HF_CM,23.2606
GSE168742_human_HF_CM,90.3823
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,29.5527
GSE168742_human_HF_CM,47.5232
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,30.0457
GSE168742_human_HF_CM,339.599
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,151.435
GSE168742_human_HF_CM,203.541
GSE168742_human_HF_CM,272.174
GSE168742_human_HF_CM,314.903
GSE168742_human_HF_CM,300.759
GSE168742_human_HF_CM,311.481
GSE168742_human_HF_CM,229.534
GSE168742_human_HF_CM,319.621
GSE168742_human_HF_CM,254.666
GSE168742_human_HF_CM,198.336
GSE168742_human_HF_CM,186.936
GSE168742_human_HF_CM,405.354
GSE168742_human_HF_CM,177.845
GSE168742_human_HF_CM,176.128
GSE168742_human_HF_CM,405.782
GSE168742_human_HF_CM,263.871
GSE168742_human_HF_CM,264.741
GSE168742_human_HF_CM,209.032
GSE168742_human_HF_CM,361.983
GSE168742_human_HF_CM,308.392
GSE168742_human_HF_CM,235.524
GSE168742_human_HF_CM,104.637
GSE168742_human_HF_CM,156.675
GSE168742_human_HF_CM,193.241
GSE168742_human_HF_CM,242.922
GSE168742_human_HF_CM,310.354
GSE168742_human_HF_CM,230.528
GSE168742_human_HF_CM,216.305
GSE168742_human_HF_CM,264.157
GSE168742_human_HF_CM,232.133
GSE168742_human_HF_CM,368.178
GSE168742_human_HF_CM,274.615
GSE168742_human_HF_CM,479.433
GSE168742_human_HF_CM,204.388
GSE168742_human_HF_CM,150.208
GSE168742_human_HF_CM,238.334
GSE168742_human_HF_CM,149.457
GSE168742_human_HF_CM,172.416
GSE168742_human_HF_CM,268.121
GSE168742_human_HF_CM,280.497
GSE168742_human_HF_CM,364.749
GSE168742_human_HF_CM,304.734
GSE168742_human_HF_CM,262.472
GSE168742_human_HF_CM,155.612
GSE168742_human_HF_CM,305.802
GSE168742_human_HF_CM,159.422
GSE168742_human_HF_CM,495.752
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,91.5941
GSE168742_human_HF_CM,5.31918
GSE168742_human_HF_CM,88.3173
GSE168742_human_HF_CM,178.194
GSE168742_human_HF_CM,83.691
GSE168742_human_HF_CM,219.936
GSE168742_human_HF_CM,127.914
GSE168742_human_HF_CM,81.6961
GSE168742_human_HF_CM,123.872
GSE168742_human_HF_CM,237.673
GSE168742_human_HF_CM,97.4966
GSE168742_human_HF_CM,42.8143
GSE168742_human_HF_CM,304.96
GSE168742_human_HF_CM,179.335
GSE168742_human_HF_CM,195.287
GSE168742_human_HF_CM,31.017
GSE168742_human_HF_CM,159.773
GSE168742_human_HF_CM,258.855
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,17.52
GSE168742_human_HF_CM,62.9606
GSE168742_human_HF_CM,64.9199
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,263.275
GSE168742_human_HF_CM,5.13942
GSE168742_human_HF_CM,48.7103
GSE168742_human_HF_CM,148.275
GSE168742_human_HF_CM,234.069
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,430.809
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,104.775
GSE168742_human_HF_CM,109.57
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,133.767
GSE168742_human_HF_CM,102.343
GSE168742_human_HF_CM,122.689
GSE168742_human_HF_CM,136.374
GSE168742_human_HF_CM,306.593
GSE168742_human_HF_CM,228.065
GSE168742_human_HF_CM,187.724
GSE168742_human_HF_CM,187.006
GSE168742_human_HF_CM,148.191
GSE168742_human_HF_CM,252.67
GSE168742_human_HF_CM,214.124
GSE168742_human_HF_CM,362.389
GSE168742_human_HF_CM,162.632
GSE168742_human_HF_CM,21.3514
GSE168742_human_HF_CM,48.9203
GSE168742_human_HF_CM,48.2624
GSE168742_human_HF_CM,134.788
GSE168742_human_HF_CM,342.49
GSE168742_human_HF_CM,63.7552
GSE168742_human_HF_CM,35.1271
GSE168742_human_HF_CM,182.22
GSE168742_human_HF_CM,38.39
GSE168742_human_HF_CM,429.763
GSE168742_human_HF_CM,593.857
GSE168742_human_HF_CM,448.741
GSE168742_human_HF_CM,144.092
GSE168742_human_HF_CM,12.166
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,253.02
GSE168742_human_HF_CM,217.283
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,173.684
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,219.565
GSE168742_human_HF_CM,222.368
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,80.3471
GSE168742_human_HF_CM,1266.54
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,141.822
GSE168742_human_HF_CM,295.818
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,322.84
GSE168742_human_HF_CM,559.76
GSE168742_human_HF_CM,252.313
GSE168742_human_HF_CM,189.193
GSE168742_human_HF_CM,310.87
GSE168742_human_HF_CM,144.86
GSE168742_human_HF_CM,222.72
GSE168742_human_HF_CM,236.77
GSE168742_human_HF_CM,29.2377
GSE168742_human_HF_CM,435.396
GSE168742_human_HF_CM,383.772
GSE168742_human_HF_CM,300.398
GSE168742_human_HF_CM,3.4924
GSE168742_human_HF_CM,115.358
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,194.079
GSE168742_human_HF_CM,376.056
GSE168742_human_HF_CM,267.455
GSE168742_human_HF_CM,155.177
GSE168742_human_HF_CM,201.043
GSE168742_human_HF_CM,478.53
GSE168742_human_HF_CM,260.967
GSE168742_human_HF_CM,123.145
GSE168742_human_HF_CM,313.974
GSE168742_human_HF_CM,932.824
GSE168742_human_HF_CM,165.457
GSE168742_human_HF_CM,315.848
GSE168742_human_HF_CM,718.654
GSE168742_human_HF_CM,753.364
GSE168742_human_HF_CM,120.374
GSE168742_human_HF_CM,159.689
GSE168742_human_HF_CM,366.64
GSE168742_human_HF_CM,57.4257
GSE168742_human_HF_CM,239.358
GSE168742_human_HF_CM,339.868
GSE168742_human_HF_CM,51.1326
GSE168742_human_HF_CM,234.179
GSE168742_human_HF_CM,652.416
GSE168742_human_HF_CM,142.528
GSE168742_human_HF_CM,143.55
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,356.213
GSE168742_human_HF_CM,258.106
GSE168742_human_HF_CM,118.054
GSE168742_human_HF_CM,290.843
GSE168742_human_HF_CM,931.487
GSE168742_human_HF_CM,347.069
GSE168742_human_HF_CM,222.873
GSE168742_human_HF_CM,267.799
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,459.108
GSE168742_human_HF_CM,52.1949
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,233.144
