cell_id,ndufb7_expression,cell_type
SC_92563_7_27,4,N_LA_CM
SC_92563_6_5,3,N_LA_CM
SC_92563_7_35,0,N_LA_CM
SC_92563_7_31,28,N_LA_CM
SC_92563_8_52,5,N_LA_CM
SC_92563_8_58,8,N_LA_CM
SC_92563_8_9,0,N_LA_CM
SC_92563_8_10,3,N_LA_CM
SC_92563_8_48,18,N_LA_CM
SC_92563_8_11,2,N_LA_CM
SC_92563_8_56,0,N_LA_CM
SC_92563_8_1,1,N_LA_CM
SC_92563_8_7,2,N_LA_CM
SC_92563_10_54,28,N_LA_CM
SC_92563_6_33,1,N_LA_CM
SC_92563_6_27,0,N_LA_CM
SC_92563_6_31,0,N_LA_CM
SC_92563_6_26,4,N_LA_CM
SC_92563_7_58,2,N_LA_CM
SC_92563_7_3,11,N_LA_CM
SC_92563_7_4,14,N_LA_CM
SC_92563_7_10,4,N_LA_CM
SC_92563_7_54,5,N_LA_CM
SC_92563_7_6,0,N_LA_CM
SC_92563_7_55,2,N_LA_CM
SC_92563_8_30,27,N_LA_CM
SC_92563_9_59,0,N_LA_CM
SC_92563_8_26,38,N_LA_CM
SC_92563_9_50,4,N_LA_CM
SC_92563_10_34,10,N_LA_CM
SC_92563_10_30,7,N_LA_CM
SC_92563_9_1,6,N_LA_CM
SC_92563_9_7,8,N_LA_CM
SC_92563_11_40,1,N_LA_NCM
SC_92563_10_23,6,N_LA_NCM
SC_92563_11_47,5,N_LA_NCM
SC_92563_10_14,1,N_LA_NCM
SC_92563_12_21,6,N_LA_NCM
SC_92563_12_22,2,N_LA_NCM
SC_92563_12_71,86,N_LA_NCM
SC_92563_12_60,0,N_LA_NCM
SC_92563_12_12,1,N_LA_NCM
SC_92563_12_62,0,N_LA_NCM
SC_92563_12_20,1,N_LA_NCM
SC_92563_13_40,1,N_LA_NCM
SC_92563_14_69,0,N_LA_NCM
SC_92563_13_41,0,N_LA_NCM
SC_92563_13_36,4,N_LA_NCM
SC_92563_14_66,2,N_LA_NCM
SC_92563_13_43,0,N_LA_NCM
SC_92563_14_62,0,N_LA_NCM
SC_92563_14_15,2,N_LA_NCM
SC_92563_15_45,63,N_LA_NCM
SC_92563_14_23,0,N_LA_NCM
SC_92563_14_12,2,N_LA_NCM
SC_92563_15_41,21,N_LA_NCM
SC_92563_15_36,20,N_LA_NCM
SC_92563_15_43,0,N_LA_NCM
SC_92563_15_44,0,N_LA_NCM
SC_92563_11_15,3,N_LA_NCM
SC_92563_11_16,1,N_LA_NCM
SC_92563_11_65,0,N_LA_NCM
SC_92563_11_66,15,N_LA_NCM
SC_92563_11_17,0,N_LA_NCM
SC_92563_11_68,0,N_LA_NCM
SC_92563_11_20,0,N_LA_NCM
SC_92563_12_45,1,N_LA_NCM
SC_92563_12_41,10,N_LA_NCM
SC_92563_13_66,0,N_LA_NCM
SC_92563_12_37,0,N_LA_NCM
SC_92563_12_44,38,N_LA_NCM
SC_92563_12_38,0,N_LA_NCM
SC_92563_13_15,0,N_LA_NCM
SC_92563_14_40,1,N_LA_NCM
SC_92563_14_41,48,N_LA_NCM
SC_92563_14_44,0,N_LA_NCM
SC_92563_15_69,25,N_LA_NCM
SC_92563_15_70,5,N_LA_NCM
SC_92563_15_15,0,N_LA_NCM
SC_92563_15_60,0,N_LA_NCM
SC_92563_15_66,0,N_LA_NCM
SC_92563_15_67,0,N_LA_NCM
SC_92563_15_20,2,N_LA_NCM
SC_92563_10_9,1,N_LA_CM
SC_92563_11_33,1,N_LA_CM
SC_92563_11_34,35,N_LA_CM
SC_92563_10_0,28,N_LA_CM
SC_92563_10_6,6,N_LA_CM
SC_92563_10_1,6,N_LA_CM
SC_92563_11_25,7,N_LA_CM
SC_92563_12_58,0,N_LA_CM
SC_92563_12_3,3,N_LA_CM
SC_92563_12_11,7,N_LA_CM
SC_92563_12_56,1,N_LA_CM
SC_92563_12_1,10,N_LA_CM
SC_92563_12_7,21,N_LA_CM
SC_92563_14_57,0,N_LA_CM
SC_92563_13_32,0,N_LA_CM
SC_92563_14_55,7,N_LA_CM
SC_92563_14_9,0,N_LA_CM
SC_92563_14_3,6,N_LA_CM
SC_92563_14_1,4,N_LA_CM
SC_92563_14_8,8,N_LA_CM
SC_92563_11_57,4,N_LA_CM
SC_92563_11_51,3,N_LA_CM
SC_92563_11_58,6,N_LA_CM
SC_92563_11_9,5,N_LA_CM
SC_92563_11_59,17,N_LA_CM
SC_92563_11_11,1,N_LA_CM
SC_92563_11_6,8,N_LA_CM
SC_92563_11_49,16,N_LA_CM
SC_92563_12_33,0,N_LA_CM
SC_92563_12_25,1,N_LA_CM
SC_92563_12_32,1,N_LA_CM
SC_92563_13_5,6,N_LA_CM
SC_92563_13_6,7,N_LA_CM
SC_92563_13_1,7,N_LA_CM
SC_92563_13_8,2,N_LA_CM
SC_92563_15_52,33,N_LA_CM
SC_92563_15_10,1,N_LA_CM
SC_92563_15_0,4,N_LA_CM
SC_92563_15_1,5,N_LA_CM
SC_92563_15_2,12,N_LA_CM
SC_92563_16_63,0,N_LA_NCM
