"Gene","Expression"
"PARD3",1.7374213836478
"HDAC9",1.73370497427101
"FOXN3",1.70640365923385
"NEK7",1.70125786163522
"NRP1",1.70011435105775
"MYH7B",1.69882790165809
"LDLRAD4",1.66695254431103
"ARID1B",1.66123499142367
"WSB1",1.6609491137793
"MBNL2",1.66037735849057
"NNT",1.65980560320183
"KIF21A",1.65880503144654
"MBD5",1.64493996569468
"ANKRD17",1.63879359634077
"LDB2",1.63836477987421
"SPHKAP",1.63479130931961
"CHD9",1.62921669525443
"GSN",1.60477415666095
"FBXW7",1.60348770726129
"MSRB3",1.60334476843911
"TCF12",1.60020011435106
"ADGRL2",1.58933676386507
"RORA",1.58033161806747
"KIAA1217",1.57704402515723
"MYLK3",1.57304173813608
"ZFAND3",1.5593196112064
"ERC1",1.55760434534019
"SBF2",1.5557461406518
"CSRP3",1.55531732418525
"WWOX",1.55174385363065
"RBPJ",1.55145797598628
"IGFBP7",1.54688393367639
"MT-CO3",1.54531160663236
"ATXN1",1.53301886792453
"WBSCR17",1.53230417381361
"PALMD",1.52372784448256
"MTUS1",1.52186963979417
"MEF2C",1.51686678101772
"SESN1",1.51586620926244
"CHCHD3",1.51072041166381
"FRY",1.50971983990852
"RSRP1",1.50657518582047
"EXOC4",1.50457404230989
"TNRC6B",1.50457404230989
"CKM",1.4972841623785
"GOLGA4",1.4819897084048
"FABP3",1.47984562607204
"MTUS2",1.47698684962836
"SH3D19",1.47112635791881
"IGF1R",1.46140651801029
"HMGN3",1.46012006861063
"UTRN",1.4559748427673
"CPED1",1.44554030874786
"MKLN1",1.44096626643796
"ASAP1",1.44082332761578
"HAND2-AS1",1.43381932532876
"KLF12",1.42867352773013
"FSTL1",1.42753001715266
"AKAP9",1.42552887364208
"DPY19L2",1.41981132075472
"DPYD",1.41580903373356
"WDPCP",1.41480846197827
"CRADD",1.41266437964551
"FKBP5",1.41137793024585
"PHLDB2",1.40294453973699
"GAB1",1.40280160091481
"CAST",1.40180102915952
"MICAL3",1.40080045740423
"MSI2",1.40022870211549
"DPF3",1.39708404802744
"THRB",1.39636935391652
"FCHSD2",1.39636935391652
"PLXDC2",1.39265294453974
"MGAT5",1.3849342481418
"FNDC3A",1.38178959405375
"SLMAP",1.3795025728988
"MAP4K3",1.37349914236707
"CDC42BPA",1.3732132647227
"RBFOX2",1.37078330474557
"MED13L",1.36735277301315
"AQP7",1.36720983419097
"CERS6",1.36649514008005
"DANT2",1.36306460834763
"RBM39",1.36263579188107
"AC013461.1",1.3614922813036
"RNPC3",1.35277301315037
"RAPGEF2",1.34977129788451
"XIST",1.34190966266438
"TNRC6A",1.3399085191538
"CUX1",1.33376214979989
