"sample","NDUFB7","Group"
"RSB19",80.517469,"Unknown"
"RSB20",93.112405,"Unknown"
"RSB21",78.480274,"Unknown"
"RSB22",94.71424,"Unknown"
"RSB23",106.91906,"Unknown"
"RSB24",77.842146,"Unknown"
"RSB25",86.067858,"Unknown"
"RSB26",92.18039,"Unknown"
"RSB32",128.174581,"Unknown"
"RSB33",126.313611,"Unknown"
"RSB34",114.669038,"Unknown"
"RSB35",98.4491506,"Unknown"
"RSB43",105.197584,"Unknown"
"RSB44",95.285506,"Unknown"
"RSB45",111.461112,"Unknown"
"RSB46",117.390143,"Unknown"
