region,NDUFB7_mean,NLRP3_mean,GSDMD_mean,IL1B_mean,CASP1_mean
CTRL,1.8341582223662576,0.009961249034108357,0.11928612906854658,0.016256869997222253,0.06790746289009886
FZ,1.0082668553262473,0.038376123020370134,0.17850924716114977,0.03448375515508791,0.04814313608919088
IZ,1.1338778569096637,0.023177439391483118,0.251259057666653,0.0921429750440281,0.11617799047119526
RZ,1.5142874490394986,0.011522994322615063,0.16396120642082848,0.015510551496062758,0.08776032925925477
