"direction","n_pairs","mean_prob","median_prob","sd_prob"
"High_to_Low",1139,0.00188243223427346,0.000299509271631437,0.00646009224402764
"Low_to_High",1071,0.00282468476086073,0.000375223816084344,0.00824546116163252
"Same",599,0.00310464244823899,0.00042544498283195,0.00890496541711714
